Countries1,Both sexes,Male,Female
2000,2019,Trend2,2000,2019,Trend2,2000,2019,Trend2
Afghanistan,7.7,6.0,-1.8a,7.6,6.2,-1.7a,7.8,5.7,-2.1a
Albania,5.2,3.7,-2.0,7.6,5.3,-2.0a,2.9,2.2,-2.0
Algeria,4.7,2.6,-3.4a,5.9,3.3,-3.3a,3.5,1.9,-3.4a
Angola,17.6,12.6,-2.1a,30.0,21.7,-2.0a,6.2,4.7,-2.0a
Antigua,2.0,0.3,-,4.5,0.0,-,0.0,0.6,-
Argentina,9.2,8.1,-0.7a,16.0,13.5,-0.8a,3.4,3.3,-0.6
Armenia,3.3,2.7,-0.3,5.5,4.9,-0.2,1.7,1.0,-0.3
Australia,11.8,11.3,+0.6,18.8,17.0,+0.2,5.0,5.6,+1.6a
Austria,15.8,10.4,-1.8a,24.9,16.6,-1.9a,7.9,4.6,-2.1a
Azerbaijan,3.4,4.0,-0.1,5.8,6.6,-0.1,1.3,1.5,-0.5
Bahamas,2.5,3.4,+1.5a,4.2,5.8,+1.6a,1.1,1.2,+0.1
Bahrain,7.0,7.2,-1.9a,10.2,9.9,-2.1a,2.5,2.3,-2.4a
Bangladesh,6.9,3.9,-3.5a,10.0,6.0,-3.1a,3.5,1.7,-4.3a
Barbados,2.6,0.3,-10.0a,4.9,0.5,-8.7a,0.5,0.2,-
Belarus,37.3,16.5,-4.7a,69.3,30.1,-4.8a,9.5,5.3,-3.5a
Belgium,18.3,13.9,-1.3a,27.0,19.6,-1.6a,10.1,8.4,-0.6a
Belize,10.0,7.7,-0.9a,17.2,13.6,-0.7,2.9,1.8,-2.6a
Benin,14.7,12.7,-0.8a,23.6,20.3,-0.8a,7.5,6.1,-1.1a
Bhutan,6.9,5.1,-1.6a,8.6,6.8,-1.2a,5.0,3.1,-2.6a
Bolivia,8.4,6.8,-0.7a,11.8,9.6,-0.8a,5.2,4.2,-0.7a
Bosnia and Herzegovina,8.1,8.3,-0.3,13.3,13.5,-0.3,3.5,3.4,-0.3a
Botswana,46.3,20.2,-4.4a,76.2,35.5,-4.0a,20.6,7.8,-5.3a
Brazil,4.5,6.4,+1.6a,7.4,10.3,+1.5a,1.8,2.8,+2.0a
Brunei,1.7,2.5,+2.6a,3.0,4.2,+1.9,0.4,0.8,-
Bulgaria,14.0,6.5,-3.9a,21.8,10.6,-3.7a,7.1,2.9,-4.5a
Burkina Faso,16.9,14.4,-0.5a,27.6,24.5,-0.2a,9.2,6.5,-1.6a
Burundi,23.4,12.1,-3.3a,35.5,18.9,-3.0a,13.6,6.4,-4.1a
Cabo Verde,18.2,15.2,-0.8a,33.3,27.4,-1.1a,6.8,5.1,-1.3a
Cambodia,6.8,5.5,-1.2a,9.2,8.4,-0.5a,5.0,3.1,-2.7a
Cameroon,19.1,15.9,-1.2a,29.8,25.2,-1.1a,9.7,7.6,-1.5a
Canada,10.7,10.3,+0.1,16.6,15.3,-0.1,5.0,5.4,+0.8a
Central African Republic,32.5,23.0,-1.2a,53.7,39.6,-1.0a,14.6,9.3,-2.1a
Chad,15.7,13.2,-0.9a,24.8,20.2,-1.1a,7.7,6.9,-0.4a
Chile,10.5,8.0,-1.1a,19.0,13.4,-1.5a,2.9,3.0,+0.4
China,14.9,6.7,-4.5a,15.5,8.6,-3.4a,14.5,4.8,-6.0a
Colombia,5.3,3.7,-1.5a,8.4,6.0,-1.3a,2.6,1.7,-2.4a
Comoros,10.9,8.5,-1.1a,14.5,11.3,-1.0a,7.6,5.8,-1.3a
Congo,24.7,11.6,-3.4a,38.5,18.3,-3.4a,14.1,6.1,-3.7a
Costa Rica,6.9,7.6,-0.4,12.3,13.3,-0.6,1.6,1.9,+0.4
Côte d’Ivoire,24.0,15.7,-1.9a,37.5,25.7,-1.6a,8.4,5.0,-2.3a
Croatia,16.3,11.0,-2.0a,27.1,17.7,-2.1a,6.9,5.1,-1.7a
